"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.502694210E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.552677280E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.602659190E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.652641120E-1,7.315500081E-2,-3.079400025E-2,3.983620107E-1,4.061923389E-1
3.702630360E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.752619590E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.802612030E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.852604340E-1,1.057650000E-1,4.939999781E-4,3.620789945E-1,3.772103889E-1
3.902592030E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
3.952579740E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.002564060E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.052548670E-1,1.434839964E-1,2.243999951E-2,3.740029931E-1,4.012099820E-1
4.102531370E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.152514060E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.202491130E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.252468060E-1,1.749189943E-1,4.161300138E-2,4.200839996E-1,4.569451424E-1
4.302443830E-1,1.878519952E-1,6.331799924E-2,4.767839909E-1,5.163530915E-1
4.352419600E-1,1.878519952E-1,6.331799924E-2,4.767839909E-1,5.163530915E-1
4.402402140E-1,1.878519952E-1,6.331799924E-2,4.767839909E-1,5.163530915E-1
4.452384830E-1,1.878519952E-1,6.331799924E-2,4.767839909E-1,5.163530915E-1
4.502365200E-1,1.767089963E-1,8.265300095E-2,5.189319849E-1,5.543897482E-1
4.552345590E-1,1.767089963E-1,8.265300095E-2,5.189319849E-1,5.543897482E-1
4.602325600E-1,1.767089963E-1,8.265300095E-2,5.189319849E-1,5.543897482E-1
4.652305590E-1,1.767089963E-1,8.265300095E-2,5.189319849E-1,5.543897482E-1
4.702295950E-1,1.516020000E-1,9.330700338E-2,5.303069949E-1,5.593879442E-1
4.752286320E-1,1.516020000E-1,9.330700338E-2,5.303069949E-1,5.593879442E-1
4.802269390E-1,1.516020000E-1,9.330700338E-2,5.303069949E-1,5.593879442E-1
4.852252480E-1,1.516020000E-1,9.330700338E-2,5.303069949E-1,5.593879442E-1
4.902235560E-1,1.245220006E-1,9.236399829E-2,5.239859819E-1,5.464413473E-1
4.952218630E-1,1.245220006E-1,9.236399829E-2,5.239859819E-1,5.464413473E-1
5.002205130E-1,1.245220006E-1,9.236399829E-2,5.239859819E-1,5.464413473E-1
5.052191660E-1,1.245220006E-1,9.236399829E-2,5.239859819E-1,5.464413473E-1
5.102174350E-1,1.053140014E-1,8.003100008E-2,5.194969773E-1,5.360719255E-1
5.152157040E-1,1.053140014E-1,8.003100008E-2,5.194969773E-1,5.360719255E-1
5.202137100E-1,1.053140014E-1,8.003100008E-2,5.194969773E-1,5.360719255E-1
5.252117090E-1,1.053140014E-1,8.003100008E-2,5.194969773E-1,5.360719255E-1
5.302110950E-1,1.006420031E-1,6.202600151E-2,5.227550268E-1,5.359560203E-1
5.352104780E-1,1.006420031E-1,6.202600151E-2,5.227550268E-1,5.359560203E-1
5.402083470E-1,1.006420031E-1,6.202600151E-2,5.227550268E-1,5.359560203E-1
5.452062340E-1,1.006420031E-1,6.202600151E-2,5.227550268E-1,5.359560203E-1
5.502046570E-1,9.989999980E-2,4.571000114E-2,5.267559886E-1,5.380904066E-1
5.552030800E-1,9.989999980E-2,4.571000114E-2,5.267559886E-1,5.380904066E-1
5.602015300E-1,9.989999980E-2,4.571000114E-2,5.267559886E-1,5.380904066E-1
5.651999930E-1,9.989999980E-2,4.571000114E-2,5.267559886E-1,5.380904066E-1
5.701990690E-1,9.299699962E-2,3.896699846E-2,5.174750090E-1,5.272070313E-1
5.751981460E-1,9.299699962E-2,3.896699846E-2,5.174750090E-1,5.272070313E-1
5.801969190E-1,9.299699962E-2,3.896699846E-2,5.174750090E-1,5.272070313E-1
5.851956900E-1,9.299699962E-2,3.896699846E-2,5.174750090E-1,5.272070313E-1
5.901940360E-1,7.729700208E-2,4.516199976E-2,4.911510050E-1,4.992431697E-1
5.951923830E-1,7.729700208E-2,4.516199976E-2,4.911510050E-1,4.992431697E-1
6.001909450E-1,7.729700208E-2,4.516199976E-2,4.911510050E-1,4.992431697E-1
6.051895220E-1,7.729700208E-2,4.516199976E-2,4.911510050E-1,4.992431697E-1
6.101875200E-1,5.128499866E-2,5.903999880E-2,4.528990090E-1,4.596013326E-1
6.151855210E-1,5.128499866E-2,5.903999880E-2,4.528990090E-1,4.596013326E-1
6.201839790E-1,5.128499866E-2,5.903999880E-2,4.528990090E-1,4.596013326E-1
6.251824400E-1,5.128499866E-2,5.903999880E-2,4.528990090E-1,4.596013326E-1
6.301800160E-1,2.830100060E-2,7.238700241E-2,4.092809856E-1,4.165954271E-1
6.351775930E-1,2.830100060E-2,7.238700241E-2,4.092809856E-1,4.165954271E-1
6.401744870E-1,2.830100060E-2,7.238700241E-2,4.092809856E-1,4.165954271E-1
6.451713720E-1,2.830100060E-2,7.238700241E-2,4.092809856E-1,4.165954271E-1
6.501701820E-1,1.836800016E-2,7.436999679E-2,3.744260073E-1,3.821820440E-1
6.551689870E-1,1.836800016E-2,7.436999679E-2,3.744260073E-1,3.821820440E-1
6.601671400E-1,1.836800016E-2,7.436999679E-2,3.744260073E-1,3.821820440E-1
6.651652950E-1,1.836800016E-2,7.436999679E-2,3.744260073E-1,3.821820440E-1
6.701641810E-1,1.189900003E-2,7.046999782E-2,3.608199954E-1,3.678296832E-1
6.751630640E-1,1.189900003E-2,7.046999782E-2,3.608199954E-1,3.678296832E-1
6.801621270E-1,1.189900003E-2,7.046999782E-2,3.608199954E-1,3.678296832E-1
6.851612040E-1,1.189900003E-2,7.046999782E-2,3.608199954E-1,3.678296832E-1
6.901593960E-1,1.027300023E-2,6.237399951E-2,3.563689888E-1,3.619321849E-1
6.951575890E-1,1.027300023E-2,6.237399951E-2,3.563689888E-1,3.619321849E-1
7.001557480E-1,1.027300023E-2,6.237399951E-2,3.563689888E-1,3.619321849E-1
7.051539010E-1,1.027300023E-2,6.237399951E-2,3.563689888E-1,3.619321849E-1
7.101529800E-1,3.855000017E-3,6.123000011E-2,3.503650129E-1,3.556959603E-1
7.151520550E-1,3.855000017E-3,6.123000011E-2,3.503650129E-1,3.556959603E-1
7.201505010E-1,3.855000017E-3,6.123000011E-2,3.503650129E-1,3.556959603E-1
7.251489640E-1,3.855000017E-3,6.123000011E-2,3.503650129E-1,3.556959603E-1
7.301480410E-1,-1.769799925E-2,7.646100223E-2,3.326990008E-1,3.418305563E-1
7.351471180E-1,-1.769799925E-2,7.646100223E-2,3.326990008E-1,3.418305563E-1
7.401464960E-1,-1.769799925E-2,7.646100223E-2,3.326990008E-1,3.418305563E-1
7.451458810E-1,-1.769799925E-2,7.646100223E-2,3.326990008E-1,3.418305563E-1
7.501449190E-1,-4.105899855E-2,9.355799854E-2,3.158029914E-1,3.319193725E-1
7.551439580E-1,-4.105899855E-2,9.355799854E-2,3.158029914E-1,3.319193725E-1
7.601432470E-1,-4.105899855E-2,9.355799854E-2,3.158029914E-1,3.319193725E-1
7.651425160E-1,-4.105899855E-2,9.355799854E-2,3.158029914E-1,3.319193725E-1
7.701422080E-1,-5.150000006E-2,1.030170023E-1,3.074660003E-1,3.283292465E-1
